dataset_key,city,date,n_sensors_available,daily_reference_mean_ugm3,normal_standard_required_n,normal_standard_required_n_capped,normal_standard_exceeds_available,normal_robust_mad_required_n,normal_robust_mad_required_n_capped,normal_robust_mad_exceeds_available,lognormal_standard_required_n,lognormal_standard_required_n_capped,lognormal_standard_exceeds_available,lognormal_robust_mad_required_n,lognormal_robust_mad_required_n_capped,lognormal_robust_mad_exceeds_available
dhaka_lcs,Dhaka,2022-04-01,16,31.787641800379575,3.0,3.0,False,1.0,1.0,False,3.0,3.0,False,1.0,1.0,False
dhaka_lcs,Dhaka,2022-04-02,16,46.53985305059524,21.0,16.0,True,5.0,5.0,False,12.0,12.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-04-03,16,35.74955018939394,3.0,3.0,False,6.0,6.0,False,3.0,3.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-04-04,16,25.321808260710476,2.0,2.0,False,2.0,2.0,False,2.0,2.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-04-05,15,31.12926731078905,4.0,4.0,False,2.0,2.0,False,3.0,3.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-04-06,15,37.412817486458785,10.0,10.0,False,5.0,5.0,False,8.0,8.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-04-07,15,37.293493357487925,6.0,6.0,False,6.0,6.0,False,6.0,6.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-04-08,16,33.34919704861112,7.0,7.0,False,7.0,7.0,False,6.0,6.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-04-09,16,20.759639190821254,14.0,14.0,False,6.0,6.0,False,11.0,11.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-04-10,16,23.78986450785024,8.0,8.0,False,8.0,8.0,False,7.0,7.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-04-11,16,27.06016945954106,5.0,5.0,False,6.0,6.0,False,5.0,5.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-04-12,16,30.692274305555557,6.0,6.0,False,3.0,3.0,False,6.0,6.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-04-13,15,20.965395637342144,6.0,6.0,False,4.0,4.0,False,5.0,5.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-04-14,15,21.234611579040923,12.0,12.0,False,2.0,2.0,False,9.0,9.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-04-15,15,20.782082978118787,7.0,7.0,False,3.0,3.0,False,6.0,6.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-04-16,15,22.760753105590062,11.0,11.0,False,3.0,3.0,False,8.0,8.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-04-17,15,19.546391908212563,17.0,15.0,True,4.0,4.0,False,12.0,12.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-04-18,15,21.140343915343916,27.0,15.0,True,8.0,8.0,False,17.0,15.0,True,9.0,9.0,False
dhaka_lcs,Dhaka,2022-04-19,15,24.93208534621578,7.0,7.0,False,2.0,2.0,False,6.0,6.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-04-20,15,26.522275793497027,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-04-21,31,35.88092602037202,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-04-22,31,27.219484356353217,10.0,10.0,False,6.0,6.0,False,7.0,7.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-04-23,31,35.07801432097978,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-04-24,31,24.096548439969727,4.0,4.0,False,5.0,5.0,False,3.0,3.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-04-25,31,26.447725944579027,6.0,6.0,False,8.0,8.0,False,6.0,6.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-04-26,31,29.019742480910082,5.0,5.0,False,7.0,7.0,False,5.0,5.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-04-27,31,32.15359591709521,7.0,7.0,False,7.0,7.0,False,6.0,6.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-04-28,31,35.500720217510604,12.0,12.0,False,8.0,8.0,False,9.0,9.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-04-29,31,32.68486404166835,4.0,4.0,False,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-04-30,31,24.804691500256016,4.0,4.0,False,2.0,2.0,False,3.0,3.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-05-01,31,31.306702411563034,5.0,5.0,False,4.0,4.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-05-02,31,22.373280933458005,11.0,11.0,False,4.0,4.0,False,8.0,8.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-03,31,23.377847891355955,21.0,21.0,False,7.0,7.0,False,14.0,14.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-05-04,31,20.13071723546829,8.0,8.0,False,5.0,5.0,False,6.0,6.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-05-05,31,22.66432744343859,12.0,12.0,False,4.0,4.0,False,8.0,8.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-06,30,24.532021953489345,9.0,9.0,False,4.0,4.0,False,6.0,6.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-07,30,40.64098839717046,5.0,5.0,False,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-05-08,30,43.93470490551292,9.0,9.0,False,7.0,7.0,False,8.0,8.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-05-09,33,17.248466092080225,6.0,6.0,False,4.0,4.0,False,7.0,7.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-05-10,34,16.59105658567775,40.0,34.0,True,12.0,12.0,False,20.0,20.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-05-11,34,19.82071683910718,6.0,6.0,False,6.0,6.0,False,5.0,5.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-05-12,34,20.957231257127358,13.0,13.0,False,7.0,7.0,False,9.0,9.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-05-13,31,18.368201746729973,5.0,5.0,False,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-05-14,31,15.893994954807543,5.0,5.0,False,4.0,4.0,False,4.0,4.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-05-15,31,13.149045902574128,10.0,10.0,False,5.0,5.0,False,7.0,7.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-05-16,33,14.600041313356531,8.0,8.0,False,4.0,4.0,False,5.0,5.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-17,34,13.633304372790466,6.0,6.0,False,3.0,3.0,False,5.0,5.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-05-18,34,9.818348930481285,8.0,8.0,False,2.0,2.0,False,5.0,5.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-05-19,34,126.8025905944316,62.0,34.0,True,71.0,34.0,True,491.0,34.0,True,56.0,34.0,True
dhaka_lcs,Dhaka,2022-05-20,34,57.32173322760477,19.0,19.0,False,12.0,12.0,False,31.0,31.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-05-21,34,21.92906220706332,9.0,9.0,False,5.0,5.0,False,7.0,7.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-05-22,34,22.809467355782893,9.0,9.0,False,7.0,7.0,False,7.0,7.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-05-23,34,22.664946338383835,13.0,13.0,False,8.0,8.0,False,10.0,10.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-05-24,33,31.46222643097643,14.0,14.0,False,8.0,8.0,False,12.0,12.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-05-25,34,31.898238579852226,5.0,5.0,False,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-26,35,26.178248261400437,9.0,9.0,False,7.0,7.0,False,8.0,8.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-05-27,34,35.76996527777778,4.0,4.0,False,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-05-28,35,38.69262475576529,4.0,4.0,False,4.0,4.0,False,3.0,3.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-05-29,35,32.63028985507247,12.0,12.0,False,9.0,9.0,False,10.0,10.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-05-30,35,39.49408189033189,9.0,9.0,False,11.0,11.0,False,8.0,8.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-05-31,35,29.256226276742577,11.0,11.0,False,12.0,12.0,False,10.0,10.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-06-01,35,27.304400370161243,12.0,12.0,False,11.0,11.0,False,10.0,10.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-06-02,35,23.08136368677906,12.0,12.0,False,10.0,10.0,False,10.0,10.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-06-03,34,22.825693273851044,9.0,9.0,False,7.0,7.0,False,7.0,7.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-06-04,34,21.272164378762042,7.0,7.0,False,6.0,6.0,False,6.0,6.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-06-05,35,19.49424319727891,6.0,6.0,False,5.0,5.0,False,5.0,5.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-06-06,35,18.247582290058386,5.0,5.0,False,6.0,6.0,False,5.0,5.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-06-07,34,25.332569230270966,8.0,8.0,False,10.0,10.0,False,7.0,7.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-06-08,35,28.99576863354037,7.0,7.0,False,9.0,9.0,False,7.0,7.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-06-09,35,23.26852755447578,13.0,13.0,False,13.0,13.0,False,12.0,12.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-06-10,35,19.488738944280993,10.0,10.0,False,3.0,3.0,False,8.0,8.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-06-11,35,19.412765246449457,12.0,12.0,False,7.0,7.0,False,10.0,10.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-06-12,35,18.091982257878996,10.0,10.0,False,6.0,6.0,False,8.0,8.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-06-13,35,20.379725829725828,7.0,7.0,False,7.0,7.0,False,6.0,6.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-06-14,35,17.801753795721183,9.0,9.0,False,4.0,4.0,False,7.0,7.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-06-15,35,16.31909757297568,9.0,9.0,False,7.0,7.0,False,8.0,8.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-06-16,34,15.695400986481548,16.0,16.0,False,7.0,7.0,False,10.0,10.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-06-17,33,12.453802606002675,9.0,9.0,False,9.0,9.0,False,8.0,8.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-06-18,34,11.36322825993479,21.0,21.0,False,10.0,10.0,False,14.0,14.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-06-19,34,16.50035907808446,10.0,10.0,False,8.0,8.0,False,8.0,8.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-06-20,34,14.098104123072154,12.0,12.0,False,6.0,6.0,False,9.0,9.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-06-21,34,20.808686346787418,17.0,17.0,False,13.0,13.0,False,15.0,15.0,False,16.0,16.0,False
dhaka_lcs,Dhaka,2022-06-22,34,17.87672358249404,8.0,8.0,False,5.0,5.0,False,7.0,7.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-06-23,34,13.906671773068032,30.0,30.0,False,14.0,14.0,False,21.0,21.0,False,18.0,18.0,False
dhaka_lcs,Dhaka,2022-06-24,34,12.664917340728564,25.0,25.0,False,16.0,16.0,False,20.0,20.0,False,20.0,20.0,False
dhaka_lcs,Dhaka,2022-06-25,33,15.44630832130832,15.0,15.0,False,8.0,8.0,False,14.0,14.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-06-26,33,9.974290001463915,29.0,29.0,False,14.0,14.0,False,20.0,20.0,False,20.0,20.0,False
dhaka_lcs,Dhaka,2022-06-27,33,9.242890181934154,14.0,14.0,False,5.0,5.0,False,10.0,10.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-06-28,33,8.469005769153991,13.0,13.0,False,5.0,5.0,False,9.0,9.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-06-29,32,13.157326406044136,25.0,25.0,False,25.0,25.0,False,23.0,23.0,False,29.0,29.0,False
dhaka_lcs,Dhaka,2022-06-30,32,20.646559934516482,16.0,16.0,False,12.0,12.0,False,14.0,14.0,False,17.0,17.0,False
dhaka_lcs,Dhaka,2022-07-01,30,18.968674516908212,13.0,13.0,False,12.0,12.0,False,14.0,14.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-07-02,29,14.61132076007451,15.0,15.0,False,7.0,7.0,False,13.0,13.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-07-03,31,14.440385127883745,24.0,24.0,False,13.0,13.0,False,19.0,19.0,False,15.0,15.0,False
dhaka_lcs,Dhaka,2022-07-04,30,13.910537870945483,21.0,21.0,False,24.0,24.0,False,21.0,21.0,False,32.0,30.0,True
dhaka_lcs,Dhaka,2022-07-05,31,16.67792636305868,12.0,12.0,False,19.0,19.0,False,14.0,14.0,False,19.0,19.0,False
dhaka_lcs,Dhaka,2022-07-06,32,16.901237775660334,15.0,15.0,False,15.0,15.0,False,15.0,15.0,False,20.0,20.0,False
dhaka_lcs,Dhaka,2022-07-07,31,13.422618278136337,14.0,14.0,False,12.0,12.0,False,15.0,15.0,False,13.0,13.0,False
dhaka_lcs,Dhaka,2022-07-08,31,10.93781562494308,18.0,18.0,False,14.0,14.0,False,17.0,17.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-07-09,31,9.751005606139772,12.0,12.0,False,6.0,6.0,False,9.0,9.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-10,32,6.220151472047152,22.0,22.0,False,6.0,6.0,False,15.0,15.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-11,32,6.794627019172705,17.0,17.0,False,7.0,7.0,False,10.0,10.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-12,31,6.218600138746476,15.0,15.0,False,3.0,3.0,False,9.0,9.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-07-13,31,6.93340930341281,20.0,20.0,False,4.0,4.0,False,13.0,13.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-07-14,31,6.280974187881622,12.0,12.0,False,6.0,6.0,False,8.0,8.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-15,31,8.84733312260048,10.0,10.0,False,8.0,8.0,False,9.0,9.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-07-16,33,8.852614792523388,10.0,10.0,False,9.0,9.0,False,9.0,9.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-07-17,33,9.387023437603972,12.0,12.0,False,8.0,8.0,False,11.0,11.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-07-18,33,9.706413337662038,22.0,22.0,False,15.0,15.0,False,19.0,19.0,False,21.0,21.0,False
dhaka_lcs,Dhaka,2022-07-19,33,10.673772952857032,9.0,9.0,False,11.0,11.0,False,8.0,8.0,False,13.0,13.0,False
dhaka_lcs,Dhaka,2022-07-20,32,19.54721763319335,11.0,11.0,False,14.0,14.0,False,11.0,11.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-07-21,34,17.819921325440234,8.0,8.0,False,7.0,7.0,False,7.0,7.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-22,33,18.326612551736073,10.0,10.0,False,6.0,6.0,False,8.0,8.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-07-23,33,14.251097433691829,12.0,12.0,False,8.0,8.0,False,10.0,10.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-07-24,34,16.962093775257138,13.0,13.0,False,16.0,16.0,False,13.0,13.0,False,19.0,19.0,False
dhaka_lcs,Dhaka,2022-07-25,35,15.351182829851307,15.0,15.0,False,15.0,15.0,False,13.0,13.0,False,16.0,16.0,False
dhaka_lcs,Dhaka,2022-07-26,35,23.111021254022027,12.0,12.0,False,16.0,16.0,False,12.0,12.0,False,15.0,15.0,False
dhaka_lcs,Dhaka,2022-07-27,34,22.418434331901405,11.0,11.0,False,2.0,2.0,False,8.0,8.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-07-28,34,20.368001771351025,9.0,9.0,False,10.0,10.0,False,9.0,9.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-07-29,34,25.75599546710543,14.0,14.0,False,9.0,9.0,False,11.0,11.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-07-30,34,17.391158911348,20.0,20.0,False,9.0,9.0,False,13.0,13.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-07-31,34,15.104453275702141,18.0,18.0,False,17.0,17.0,False,17.0,17.0,False,19.0,19.0,False
dhaka_lcs,Dhaka,2022-08-01,34,30.12623909117423,8.0,8.0,False,8.0,8.0,False,9.0,9.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-08-02,35,45.09230215867639,7.0,7.0,False,8.0,8.0,False,8.0,8.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-08-03,34,33.31762572288467,9.0,9.0,False,8.0,8.0,False,15.0,15.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-08-04,34,23.32750879385955,10.0,10.0,False,7.0,7.0,False,13.0,13.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-08-05,33,17.34789741120028,17.0,17.0,False,22.0,22.0,False,17.0,17.0,False,20.0,20.0,False
dhaka_lcs,Dhaka,2022-08-06,34,15.581506757841476,16.0,16.0,False,16.0,16.0,False,16.0,16.0,False,18.0,18.0,False
dhaka_lcs,Dhaka,2022-08-07,34,13.383184553178832,13.0,13.0,False,11.0,11.0,False,14.0,14.0,False,13.0,13.0,False
dhaka_lcs,Dhaka,2022-08-08,34,11.244144978305448,12.0,12.0,False,12.0,12.0,False,13.0,13.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-09,34,9.518231386757602,23.0,23.0,False,8.0,8.0,False,15.0,15.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-08-10,32,10.578187641163185,32.0,32.0,False,12.0,12.0,False,22.0,22.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-08-11,32,11.207978815445397,21.0,21.0,False,15.0,15.0,False,17.0,17.0,False,17.0,17.0,False
dhaka_lcs,Dhaka,2022-08-12,32,14.745702710414836,18.0,18.0,False,17.0,17.0,False,19.0,19.0,False,22.0,22.0,False
dhaka_lcs,Dhaka,2022-08-13,33,14.307721502482897,13.0,13.0,False,11.0,11.0,False,17.0,17.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-08-14,33,12.260932034554486,15.0,15.0,False,6.0,6.0,False,13.0,13.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-08-15,32,14.557075467652064,12.0,12.0,False,10.0,10.0,False,10.0,10.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-08-16,31,17.813809022907897,17.0,17.0,False,14.0,14.0,False,14.0,14.0,False,19.0,19.0,False
dhaka_lcs,Dhaka,2022-08-17,31,38.68812990822734,4.0,4.0,False,3.0,3.0,False,5.0,5.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-08-18,32,33.01884628587244,10.0,10.0,False,6.0,6.0,False,11.0,11.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-08-19,32,15.71366091005737,10.0,10.0,False,8.0,8.0,False,10.0,10.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-20,33,14.257547536821251,13.0,13.0,False,8.0,8.0,False,10.0,10.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-08-21,32,19.282793206472725,10.0,10.0,False,4.0,4.0,False,9.0,9.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-08-22,32,30.949472378089904,8.0,8.0,False,6.0,6.0,False,9.0,9.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-08-23,32,24.806123486171888,9.0,9.0,False,11.0,11.0,False,16.0,16.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-24,33,13.486670180674368,7.0,7.0,False,7.0,7.0,False,7.0,7.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-08-25,32,25.69114556375086,14.0,14.0,False,10.0,10.0,False,11.0,11.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-26,32,22.099759397644927,23.0,23.0,False,2.0,2.0,False,11.0,11.0,False,2.0,2.0,False
dhaka_lcs,Dhaka,2022-08-27,33,25.87065542969693,5.0,5.0,False,6.0,6.0,False,5.0,5.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-08-28,33,16.10794363395063,18.0,18.0,False,8.0,8.0,False,16.0,16.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-29,33,17.154425335131855,12.0,12.0,False,11.0,11.0,False,11.0,11.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-08-30,32,21.139141220909224,6.0,6.0,False,5.0,5.0,False,6.0,6.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-08-31,32,13.210669865875367,11.0,11.0,False,3.0,3.0,False,8.0,8.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-09-01,31,11.942295500587928,14.0,14.0,False,13.0,13.0,False,13.0,13.0,False,18.0,18.0,False
dhaka_lcs,Dhaka,2022-09-02,31,14.48837361164237,9.0,9.0,False,6.0,6.0,False,8.0,8.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-09-03,32,18.89254119220152,16.0,16.0,False,13.0,13.0,False,14.0,14.0,False,16.0,16.0,False
dhaka_lcs,Dhaka,2022-09-04,30,27.846214069773144,10.0,10.0,False,9.0,9.0,False,15.0,15.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-09-05,30,23.591119986092814,10.0,10.0,False,7.0,7.0,False,12.0,12.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-09-06,30,27.614063728642527,9.0,9.0,False,5.0,5.0,False,11.0,11.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-09-07,31,32.888403071235295,11.0,11.0,False,16.0,16.0,False,16.0,16.0,False,14.0,14.0,False
dhaka_lcs,Dhaka,2022-09-08,32,33.21397443230833,7.0,7.0,False,6.0,6.0,False,7.0,7.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-09-09,32,27.84820148054693,6.0,6.0,False,6.0,6.0,False,7.0,7.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-09-10,33,23.604615365718963,13.0,13.0,False,10.0,10.0,False,21.0,21.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-09-11,33,14.118357992925679,17.0,17.0,False,13.0,13.0,False,12.0,12.0,False,13.0,13.0,False
dhaka_lcs,Dhaka,2022-09-12,33,13.802471740033498,15.0,15.0,False,10.0,10.0,False,13.0,13.0,False,12.0,12.0,False
dhaka_lcs,Dhaka,2022-09-13,33,16.9462904976739,13.0,13.0,False,11.0,11.0,False,11.0,11.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-09-14,34,20.01840940800424,12.0,12.0,False,6.0,6.0,False,10.0,10.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-09-15,34,16.032708560735774,6.0,6.0,False,7.0,7.0,False,6.0,6.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-09-16,34,24.35569630932083,11.0,11.0,False,7.0,7.0,False,9.0,9.0,False,8.0,8.0,False
dhaka_lcs,Dhaka,2022-09-17,34,38.88452887248443,7.0,7.0,False,9.0,9.0,False,7.0,7.0,False,10.0,10.0,False
dhaka_lcs,Dhaka,2022-09-18,35,51.26749725516029,7.0,7.0,False,6.0,6.0,False,8.0,8.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-09-19,35,20.607778091473744,9.0,9.0,False,10.0,10.0,False,11.0,11.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-09-20,35,13.909125111177541,9.0,9.0,False,10.0,10.0,False,8.0,8.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-09-21,35,17.897989690606153,6.0,6.0,False,7.0,7.0,False,6.0,6.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-09-22,35,20.788652849479714,15.0,15.0,False,17.0,17.0,False,13.0,13.0,False,15.0,15.0,False
dhaka_lcs,Dhaka,2022-09-23,35,21.833894182508313,8.0,8.0,False,5.0,5.0,False,7.0,7.0,False,6.0,6.0,False
dhaka_lcs,Dhaka,2022-09-24,35,28.96683787862278,4.0,4.0,False,4.0,4.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-09-25,35,36.36064792451896,7.0,7.0,False,10.0,10.0,False,7.0,7.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-09-26,35,52.67945647692542,8.0,8.0,False,5.0,5.0,False,10.0,10.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-09-27,35,58.43223027047868,7.0,7.0,False,4.0,4.0,False,9.0,9.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-09-28,35,86.327935177833,8.0,8.0,False,7.0,7.0,False,11.0,11.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-09-29,35,66.45032924632304,6.0,6.0,False,5.0,5.0,False,7.0,7.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-09-30,35,39.267353191935534,5.0,5.0,False,3.0,3.0,False,4.0,4.0,False,3.0,3.0,False
dhaka_lcs,Dhaka,2022-10-01,34,54.90489166186896,5.0,5.0,False,3.0,3.0,False,9.0,9.0,False,4.0,4.0,False
dhaka_lcs,Dhaka,2022-10-02,34,32.005877469984874,7.0,7.0,False,5.0,5.0,False,11.0,11.0,False,5.0,5.0,False
dhaka_lcs,Dhaka,2022-10-03,33,16.013283875520372,10.0,10.0,False,11.0,11.0,False,12.0,12.0,False,11.0,11.0,False
dhaka_lcs,Dhaka,2022-10-04,34,22.31734648317625,15.0,15.0,False,6.0,6.0,False,12.0,12.0,False,7.0,7.0,False
dhaka_lcs,Dhaka,2022-10-05,34,19.520839973878736,12.0,12.0,False,7.0,7.0,False,14.0,14.0,False,9.0,9.0,False
dhaka_lcs,Dhaka,2022-10-06,34,18.595481894708744,17.0,17.0,False,22.0,22.0,False,17.0,17.0,False,32.0,32.0,False
dhaka_lcs,Dhaka,2022-10-07,34,33.493440007321844,22.0,22.0,False,15.0,15.0,False,19.0,19.0,False,16.0,16.0,False
dhaka_lcs,Dhaka,2022-10-08,34,30.52824605950293,16.0,16.0,False,12.0,12.0,False,15.0,15.0,False,14.0,14.0,False
